prompt_class,layer,head,mean_forman_curvature_mean,mean_forman_curvature_std,mean_forman_curvature_median,density_mean,density_std,density_median,n_edges_mean,n_edges_std,n_edges_median,lcc_size_mean,lcc_size_std,lcc_size_median,row_entropy_mean_mean,row_entropy_mean_std,row_entropy_mean_median,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std,avg_shortest_path_lcc_median,mean_forman_curvature_ci_lo,mean_forman_curvature_ci_hi,density_ci_lo,density_ci_hi,n_edges_ci_lo,n_edges_ci_hi,lcc_size_ci_lo,lcc_size_ci_hi,row_entropy_mean_ci_lo,row_entropy_mean_ci_hi,avg_shortest_path_lcc_ci_lo,avg_shortest_path_lcc_ci_hi
descriptive_baseline,8,0,43.87324282880318,4.940240744289611,41.85699372719539,0.5,0.0,0.5,58.3,5.313504806936128,55.0,11.3,0.48304589153964794,11.0,1.445174391648986,0.04672927509309716,1.4473568201065063,1.8379355850613972,0.07378332104487018,1.8263412742328957,41.08788689211267,46.97182383668504,0.5,0.5,55.0,61.6,11.0,11.6,1.416769405260682,1.4727334942926058,1.7961522652625765,1.8831221094772013
descriptive_baseline,8,1,53.21864486390776,8.150441599019283,49.808669095664015,0.47363636363636363,0.013686775503801487,0.4727272727272727,55.3,6.147266781984402,52.5,11.3,0.48304589153964794,11.0,1.1545950043472377,0.07738413731367008,1.1482934698462486,1.3910161218617811,0.10241933058292138,1.4010803923185984,48.57202813993445,58.63871462003865,0.4656060606060605,0.48227272727272724,51.9,59.2025,11.0,11.6,1.108775983415544,1.200348219403489,1.3348942477606536,1.452098908819943
descriptive_baseline,8,2,46.451153755534236,5.193884186175905,46.14309641128604,0.5,0.0,0.5,58.3,5.313504806936128,55.0,11.3,0.48304589153964794,11.0,1.40240606456995,0.048326383950234086,1.414186085354198,1.7282581335100862,0.08950036690782481,1.7167370657093077,43.403348593889646,49.45670947638014,0.5,0.5,55.0,61.6,11.0,11.6,1.3732588501606475,1.430450681806288,1.6762711237427004,1.7787943283409868
descriptive_baseline,8,3,45.13763163319336,10.896651727088209,46.28990424841048,0.4821212121212121,0.013790745992627066,0.4818181818181818,56.3,6.342975116877987,53.0,11.3,0.48304589153964794,11.0,1.2829845381324942,0.11021415635801557,1.2433871373534204,1.6626465189194182,0.17996684646259684,1.6399545653069967,38.13541418697928,51.16262199733406,0.47393939393939394,0.4904545454545454,52.8,60.2,11.0,11.6,1.217052257888019,1.3476165601231835,1.554198347269967,1.7661759263787655
descriptive_baseline,8,4,47.6210894423528,13.438552801311026,42.9207885424974,0.4663636363636363,0.021767618177052122,0.4727272727272727,54.5,6.851601597031486,52.0,11.3,0.48304589153964794,11.0,1.0677926155789332,0.10809194519905545,1.1073138803243636,1.5041013819727884,0.2606988196986826,1.5397439240349389,40.493871166408255,56.455396053210045,0.45318181818181824,0.47863636363636364,50.6,58.7,11.0,11.6,1.0017441762015225,1.1278415544662965,1.3406058208946625,1.6462163389979432
descriptive_baseline,8,5,52.0311152544097,5.193011412723864,51.091834249713166,0.5,0.0,0.5,58.3,5.313504806936128,55.0,11.3,0.48304589153964794,11.0,1.347091085721146,0.05778983886479214,1.335874781012535,1.7283738263424024,0.1285594994610324,1.7042898526978125,49.23047736269773,55.130791919379256,0.5,0.5,55.0,61.6,11.0,11.6,1.314295393915339,1.3825274814123458,1.6541222910780382,1.8044643280422847
descriptive_baseline,8,6,54.265417647522305,7.535885901268963,55.11153584492918,0.48954545454545456,0.012584780341964034,0.49166666666666664,57.1,5.626327003965869,55.0,11.3,0.48304589153964794,11.0,1.2190973708981816,0.09694529611393098,1.2032240271568297,1.4956262971424337,0.14849382407371797,1.5176705566790232,49.872015554162445,58.80963831058313,0.48121212121212126,0.4959090909090909,53.8975,60.6025,11.0,11.6,1.1594178476177832,1.278033635965125,1.3957904714600196,1.5760422231448326
descriptive_baseline,8,7,-10.207713382291548,18.62144472074182,-10.785687191742742,0.32560606060606057,0.018930300847436923,0.3181818181818182,37.9,3.2472210341220147,37.5,11.3,0.48304589153964794,11.0,0.8119544250789014,0.05438563745697985,0.7957828838378191,1.4617969776661683,0.13568529758148487,1.435838905711087,-21.34487253849534,0.9369782512866246,0.3148484848484848,0.3381818181818181,36.0,39.7,11.0,11.6,0.7841197437601672,0.8462913572535936,1.3828371187146158,1.5456650571046586
descriptive_baseline,8,8,49.77638784092032,6.082587624660638,50.73366850983779,0.49651515151515146,0.006228728724574067,0.5,57.9,5.404730438339279,55.0,11.3,0.48304589153964794,11.0,1.3218367331678216,0.07948082586174918,1.3219648987054824,1.6881282550044552,0.1726278861637713,1.737881529305621,45.7056796232578,53.10041655384163,0.4927272727272727,0.5,54.7975,61.3,11.0,11.6,1.2762178520329974,1.3679330707937476,1.582046347537287,1.7833671854003303
descriptive_baseline,8,9,46.352404624051644,12.141543424800089,48.10552815068002,0.4963636363636364,0.007666127661014251,0.5,57.9,5.646040894093646,55.0,11.3,0.48304589153964794,11.0,1.3372590898383747,0.05521287381083715,1.326549675247886,1.77487989324969,0.1373099946155078,1.7617316026317675,38.510859529144476,53.04598676935229,0.4909090909090909,0.5,54.6,61.404999999999994,11.0,11.6,1.3072844153954224,1.3745580423812973,1.7001325858633736,1.8593076825520447
descriptive_baseline,8,10,50.891172245693824,6.6382909413253675,52.41736371729347,0.49742424242424244,0.005977972011686987,0.5,58.0,5.333333333333333,55.0,11.3,0.48304589153964794,11.0,1.327058086937124,0.0971169028426667,1.329832285642624,1.7894407305522653,0.149751598593025,1.8060286635522584,46.36359198862052,54.017566154556164,0.4937878787878788,0.5,54.9975,61.4,11.0,11.6,1.2663654063059524,1.382543000245636,1.6916105312490386,1.8736383892814346
descriptive_baseline,8,11,55.770346547736736,2.9976468391252356,56.1634677962249,0.49818181818181817,0.003833063830507129,0.5,58.1,5.466056876558985,55.0,11.3,0.48304589153964794,11.0,1.283348777375438,0.089302596889403,1.256494101881981,1.5057401586038746,0.25182380505314017,1.4285416006929945,53.998104603737964,57.52218285122014,0.4954545454545455,0.5,54.8,61.5,11.0,11.6,1.2336366942484271,1.340986022608524,1.3677877891546382,1.6470209771619833
